"userid","date.inscr","date.dern.lect","Resiliation","Reachat","Country","mail.spont","score.ouv.news","n.ventes","revenues","gender"
57,"2012-04-13","2012-05-11",0,0,"UK",1,4.77697748560695,28,0,1
58,"2011-06-22","2011-07-21",1,0,"Spain",1,6.27960839350218,44,0,1
59,"2017-08-07","2017-10-03",0,0,"Spain",0,0.825908508650574,5,0,0
60,"2013-12-17","2014-02-13",0,1,"France",0,1.14384763175821,16,22.4885276711111,0
61,"2016-12-11","2016-12-29",0,0,"France",0,2.65610439572434,23,30.060374223432,1
62,"2012-02-25","2012-04-29",0,0,"Germany",1,1.59011237082868,16,30.8110357292186,0
63,"2015-10-20","2015-11-06",0,0,"Germany",0,1.33260160249428,11,0,1
64,"2012-01-10","2012-02-27",0,0,"Spain",1,1.77393648761375,19,4.06227265382437,0
65,"2019-01-20","2019-03-14",1,0,"France",0,0.611690524688251,6,0,0
66,"2010-10-28","2010-12-12",0,0,"Spain",0,1.63030459898278,13,0,0
67,"2015-07-31","2015-08-24",1,0,"Spain",0,2.26202677973587,22,0,1
68,"2012-01-31","2012-03-18",0,0,"UK",0,1.4340369889416,11,0,0
69,"2012-10-14","2012-12-08",0,0,"France",0,1.90984472672849,16,0,0
70,"2014-08-13","2014-10-01",0,1,"Spain",1,0.764950341129974,8,36.7807667245834,0
71,"2009-07-25","2009-09-28",0,1,"Germany",1,1.4768409948778,18,0,0
72,"2015-01-12","2015-03-21",0,0,"France",0,1.01397609141333,7,20.8776266394518,0
73,"2013-06-02","2013-06-15",0,1,"UK",0,1.5642585898156,14,0,1
74,"2009-07-14","2009-08-10",0,1,"UK",0,2.51104485492167,25,0,1
75,"2018-11-22","2018-12-04",0,0,"France",0,0.973060048088644,6,0,0
76,"2012-07-11","2012-09-06",0,0,"Germany",0,0.747571659891688,7,47.8401038230447,0
77,"2009-11-21","2009-12-17",0,0,"France",0,2.72790260912273,24,14.0974869375707,0
78,"2017-04-27","2017-06-15",0,0,"Germany",0,2.74537486591371,24,0,0
79,"2010-11-29","2011-01-03",0,0,"UK",0,1.47596551081917,11,33.1509622224805,1
80,"2011-01-29","2011-03-08",0,0,"France",0,2.63844595062614,23,0,0
81,"2010-04-11","2010-06-06",0,0,"Spain",0,1.40885100320559,11,0,0
82,"2017-04-19","2017-05-06",1,0,"Germany",0,0.716984745963821,4,29.2012062616052,0
83,"2012-12-25","2013-03-07",0,0,"UK",0,0.736982384167679,4,0,0
84,"2015-04-17","2015-05-28",0,0,"UK",0,1.39649924442585,10,0,1
85,"2012-03-22","2012-04-11",0,1,"UK",1,3.01954708607442,19,16.4445387277315,1
86,"2012-04-13","2012-05-29",0,0,"Germany",0,1.87612699040667,23,22.4209391873408,0
87,"2014-06-22","2014-08-12",0,0,"UK",0,2.35339549359294,20,0,0
88,"2009-06-13","2009-07-05",0,0,"Germany",0,2.68289063258546,23,0,1
89,"2010-09-27","2010-12-19",0,0,"France",0,2.42835519333232,31,0,0
90,"2010-05-05","2010-07-03",0,0,"Spain",0,0.904998894181898,6,25.9922829233192,0
91,"2015-02-25","2015-05-01",1,0,"UK",0,1.00479345199441,12,35.5399716572608,0
92,"2019-10-13","2019-11-21",0,0,"Spain",0,1.15438603508463,9,29.9735561092372,1
93,"2016-06-29","2016-09-03",0,0,"France",0,1.11751234514187,8,19.451763454382,0
94,"2015-05-07","2015-05-27",0,0,"France",0,2.94316863818097,26,24.2212918037726,1
95,"2010-08-30","2010-10-10",1,0,"Spain",0,0.739023952830337,5,43.478295181389,0
96,"2009-02-21","2009-03-07",0,0,"UK",0,0.535818249518974,4,32.2642734030656,0
97,"2017-11-11","2017-12-14",1,0,"Germany",0,1.46362171846069,13,11.5913648541381,1
98,"2015-04-24","2015-04-21",0,0,"France",1,1.49775175692884,6,0,1
99,"2017-02-15","2017-02-24",0,0,"Spain",0,1.50993246600587,12,0,1
100,"2012-06-16","2012-07-04",1,0,"Spain",1,2.62469726793703,16,31.2444306410349,1
101,"2017-03-20","2017-05-14",0,0,"Spain",0,0.83970882270303,8,0,0
102,"2014-11-25","2015-01-07",0,0,"France",0,1.95344331870231,16,0,0
103,"2014-10-22","2014-11-29",0,0,"France",0,1.09995287856254,7,0,0
104,"2019-03-17","2019-05-16",1,0,"France",0,2.75798258103602,27,17.4747845250109,0
105,"2017-02-12","2017-03-11",1,1,"France",0,1.80005582764033,20,0,1
106,"2017-12-09","2017-12-28",0,0,"France",0,1.80484008469078,15,37.7095147728357,1
107,"2017-09-15","2017-10-13",1,0,"France",0,1.01013169621964,8,40.6208444027862,1
108,"2011-07-16","2011-08-08",1,0,"Spain",0,0.755961211028376,5,0,1
109,"2012-03-18","2012-05-07",0,0,"France",0,2.41781315665318,21,0,0
110,"2010-03-09","2010-03-23",0,0,"Germany",0,1.99776445658393,16,32.9198274913809,0
111,"2017-02-09","2017-03-11",0,0,"Spain",0,0.952055023347234,6,0,1
112,"2014-02-02","2014-02-19",0,0,"UK",0,1.11512076313242,8,32.5098333793159,1
113,"2016-07-05","2016-07-20",1,0,"UK",0,2.06691904737833,20,0,1
114,"2015-07-14","2015-08-14",1,0,"UK",0,2.33729503217166,22,32.1673872887249,0
115,"2012-06-08","2012-07-05",0,0,"Spain",0,2.39110015144035,31,27.1735115981707,0
116,"2009-06-01","2009-07-11",1,0,"France",0,1.49951694044087,13,35.7169980930507,0
117,"2017-10-05","2017-11-03",0,0,"Spain",1,1.16647662439732,4,0,1
118,"2012-02-29","2012-03-15",0,0,"France",0,0.927092776603677,6,36.6584847862077,1
119,"2019-01-05","2019-01-28",0,0,"Germany",0,1.63223765449172,13,35.9265627268937,1
120,"2014-10-14","2014-11-11",0,0,"UK",1,1.34113582361999,5,15.2799826111574,1
121,"2017-07-15","2017-08-04",0,0,"Spain",0,2.70353057121093,24,0,1
122,"2011-01-29","2011-02-19",0,0,"Spain",0,2.33041539291436,20,3.16584961782738,1
123,"2010-06-08","2010-08-08",0,0,"France",0,1.7785018669745,14,0,0
124,"2019-07-31","2019-09-02",1,0,"Germany",1,1.18759638628498,5,0,1
125,"2011-05-15","2011-06-14",0,0,"Germany",1,2.65920300212156,14,34.5747682264436,1
126,"2016-07-03","2016-08-30",0,0,"France",0,2.63125430269113,34,26.5393846517334,0
127,"2012-07-26","2012-10-12",0,0,"Germany",1,1.71412633461758,18,0,0
128,"2014-11-09","2014-11-25",0,0,"Spain",0,1.94889328765096,16,0,1
129,"2011-10-28","2011-12-17",0,1,"France",1,2.53477490497335,34,24.3057369444611,0
130,"2015-12-12","2016-01-13",1,0,"Spain",0,3.60870888435512,37,26.6644010293521,0
131,"2014-06-13","2014-07-10",1,0,"UK",0,2.29684246492027,22,9.76597295720079,0
132,"2012-12-16","2013-01-19",0,0,"Germany",0,2.01491260795381,25,0,0
133,"2014-03-22","2014-05-04",0,1,"UK",1,1.22520579282397,6,0,1
134,"2012-08-01","2012-08-23",0,1,"France",0,0.842548732092258,7,24.9064440603064,1
135,"2014-10-19","2014-11-18",0,0,"UK",0,1.87413196523241,15,42.6023198165517,1
136,"2011-03-05","2011-03-07",0,0,"France",0,1.43689924179182,11,0,1
137,"2015-01-12","2015-03-23",0,1,"Germany",0,1.38284193320898,20,0,0
138,"2019-09-16","2019-11-21",0,0,"UK",0,3.27390241137485,29,30.224787503814,0
139,"2018-04-15","2018-06-18",0,0,"UK",0,3.47746213648388,46,29.8966720746176,0
140,"2012-10-11","2012-11-06",0,0,"France",0,1.6164459487234,13,18.5585956279158,1
141,"2018-06-07","2018-07-21",1,0,"UK",0,1.7352856330827,16,0,0
142,"2010-09-29","2010-10-27",0,0,"Germany",0,1.52841547729715,12,0,1
143,"2017-07-03","2017-08-25",0,0,"UK",0,2.17940352354821,18,27.9747452703534,0
144,"2012-10-18","2013-01-20",0,0,"UK",0,1.01033621603458,7,33.9843362453872,0
145,"2014-08-31","2014-10-20",0,0,"France",0,0.956767897090308,6,14.282820076711,0
146,"2015-09-14","2015-10-14",1,0,"UK",1,5.76022142479876,40,34.7852199176334,1
147,"2013-05-21","2013-06-25",1,1,"Germany",0,2.95649432508522,35,0,1
148,"2016-07-22","2016-09-08",0,0,"France",0,3.02560767103235,27,8.32486126483271,0
149,"2009-01-18","2009-02-16",0,0,"France",0,2.98308869601474,26,30.0809801288527,1
150,"2012-08-24","2012-09-17",0,1,"France",0,1.66028232338946,15,18.8435376904135,1
151,"2010-04-09","2010-05-06",0,0,"France",0,1.90868552372014,16,0,1
152,"2014-07-14","2014-08-16",1,0,"Germany",0,1.47311943892316,13,0,1
153,"2012-03-11","2012-04-25",0,0,"UK",0,2.00777732460603,17,19.3207004823428,1
154,"2010-06-04","2010-07-04",0,0,"Spain",0,3.64628464603169,33,22.8612160776609,0
155,"2015-03-10","2015-04-04",0,0,"France",0,1.24216264447762,9,0,0
156,"2014-07-07","2014-07-29",0,0,"Spain",0,0.969758644787792,6,37.8948320188246,1
157,"2011-09-20","2011-11-02",1,0,"France",0,3.15475205674784,32,31.318771399048,0
158,"2010-11-11","2011-01-18",1,0,"France",0,3.43182242827613,51,31.5465743601355,0
159,"2015-06-14","2015-07-15",1,0,"Germany",1,1.021308841326,7,16.3841591683113,2
160,"2011-02-19","2011-03-18",0,1,"Spain",1,4.24870903146048,29,0,1
161,"2019-05-30","2019-07-12",0,0,"UK",0,1.39989113375975,16,39.1176025548289,0
162,"2010-06-14","2010-08-20",0,1,"Spain",0,1.67642326727912,16,0,0
163,"2012-06-27","2012-08-17",0,0,"Germany",0,1.12488929935528,13,29.2942797539925,0
164,"2009-12-03","2009-12-19",1,0,"Spain",0,1.72817166802778,16,0,1
165,"2013-07-15","2013-07-29",0,0,"Germany",1,3.744466262074,21,0,1
166,"2013-07-04","2013-08-01",0,0,"Spain",0,1.98129163958719,16,0,1
167,"2011-04-02","2011-05-05",0,0,"Spain",0,4.93100012174022,46,26.3256679589046,1
168,"2010-04-13","2010-05-29",1,1,"France",0,3.88785996845398,47,29.9251760754956,0
169,"2010-09-24","2010-10-19",0,0,"Germany",0,1.49091882632695,12,0,1
170,"2009-03-26","2009-05-19",0,0,"UK",0,1.50973682360637,12,0,0
171,"2017-12-14","2017-12-17",0,1,"Spain",0,1.4135532647795,13,0,1
172,"2010-01-14","2010-02-17",0,0,"France",0,2.27435332059244,19,17.4749831809482,0
173,"2009-07-12","2009-09-15",0,0,"France",0,1.80195719331569,22,0,0
174,"2010-06-01","2010-08-03",0,1,"UK",0,2.69039653428794,42,0,0
175,"2016-09-18","2016-09-07",0,0,"Germany",0,3.06571396808648,27,0,1
176,"2011-10-06","2011-12-04",0,0,"UK",0,1.62476995980118,20,1.36104738126175,0
177,"2018-04-23","2018-06-02",0,0,"France",1,1.25055483585608,5,0,1
178,"2015-10-02","2015-12-10",0,0,"Germany",0,2.04259434405648,17,11.4691049968739,0
179,"2018-12-13","2019-02-11",0,0,"UK",0,2.03245741538433,26,25.716425223878,0
180,"2009-03-12","2009-03-13",1,0,"Spain",0,2.79031004838538,28,0,1
181,"2011-12-05","2011-12-29",1,0,"UK",0,1.41787703490504,11,0,2
182,"2016-02-02","2016-03-26",1,0,"UK",0,1.43054992834342,12,24.3263021767492,0
183,"2012-04-01","2012-05-17",0,0,"Germany",1,2.96213861468739,34,0,0
184,"2017-07-05","2017-08-23",0,0,"UK",1,0.923919445252612,8,0,0
185,"2016-05-30","2016-07-01",0,0,"Spain",0,0.889532999288114,5,38.1800705811066,0
186,"2019-07-06","2019-08-14",0,0,"UK",0,1.56566909343532,12,27.1886458349983,1
187,"2018-12-23","2019-02-10",0,0,"UK",0,0.831959233547156,8,18.0571135277003,0
188,"2016-10-01","2016-11-22",1,0,"Spain",0,1.01130603264676,13,0,0
189,"2012-05-13","2012-06-15",0,0,"Germany",1,1.67689297917891,8,0,1
190,"2013-01-18","2013-02-24",0,0,"Spain",0,1.04572932518771,7,0,1
191,"2017-05-10","2017-06-10",0,0,"Germany",0,1.1272325927826,8,39.9767396860232,1
192,"2012-06-11","2012-07-06",0,0,"UK",0,1.02544265139394,7,10.5118330422865,1
193,"2014-09-07","2014-10-27",0,0,"France",0,3.62352364240097,33,25.7239285150809,0
194,"2010-11-09","2010-12-05",0,0,"Spain",0,1.34119658862007,10,0,1
195,"2011-02-14","2011-03-01",0,1,"Spain",1,1.74533265548593,10,0,1
196,"2015-11-12","2016-01-02",0,0,"France",0,1.05223864528002,12,0,0
197,"2013-07-03","2013-07-22",0,0,"UK",1,1.8007176653697,9,0,1
198,"2017-01-21","2017-03-05",0,0,"UK",0,3.16352101174215,28,0,1
199,"2009-10-19","2009-12-30",0,0,"Spain",0,2.51328807042205,32,0,0
200,"2009-10-10","2009-10-11",0,0,"UK",0,1.92212673482641,16,0,1
201,"2015-09-04","2015-10-08",0,0,"Spain",0,0.803769422016954,8,58.2214896037019,0
202,"2018-09-23","2018-12-04",0,0,"Germany",0,3.90246183677147,36,41.095864662097,0
203,"2019-01-08","2019-01-20",0,0,"Germany",1,1.63481015712528,13,16.8625691330596,2
204,"2016-12-25","2017-01-27",0,1,"UK",0,1.65338842448281,16,40.7185412259455,0
205,"2010-04-02","2010-05-18",0,0,"UK",0,2.01633851699736,17,20.0023378556011,0
206,"2013-10-25","2013-12-04",0,0,"Spain",0,1.96085891716236,16,0,0
207,"2015-03-03","2015-03-18",0,0,"UK",1,2.6732256671599,14,0,1
208,"2015-03-09","2015-04-02",1,0,"France",0,3.59228857752585,32,0,2
209,"2013-05-05","2013-07-15",0,0,"UK",0,2.44959041977811,21,0,0
210,"2009-10-08","2009-11-01",0,0,"Spain",1,6.78606798256893,42,10.308583381424,1
211,"2019-09-08","2019-10-09",0,0,"France",1,1.17245752675425,4,38.2221139090661,1
212,"2010-08-21","2010-09-23",0,0,"France",0,0.823499230406554,5,16.5124741672084,1
213,"2015-08-31","2015-10-16",0,0,"France",0,3.31589746285285,30,14.4025181142663,0
214,"2010-10-30","2010-11-09",0,0,"Germany",1,1.4773178713967,6,38.3523903612278,1
215,"2011-01-17","2011-02-27",1,0,"UK",0,1.15396170158577,9,25.4547455429746,0
216,"2012-03-17","2012-04-12",0,0,"UK",0,2.72544789382933,25,26.2716191908615,1
217,"2013-10-23","2013-11-12",0,0,"Spain",0,0.620180063271698,5,21.3941870418391,0
218,"2012-06-03","2012-07-01",0,0,"France",1,1.12771392890869,4,11.857466272151,1
219,"2013-12-19","2014-02-19",0,1,"UK",0,1.4688171629631,14,0,0
220,"2010-10-07","2010-10-28",0,1,"France",0,2.12104907162377,21,0,1
221,"2017-01-12","2017-03-04",0,0,"Spain",0,2.80198953491177,25,0,1
222,"2009-03-20","2009-04-12",0,1,"UK",0,2.42251014520163,25,0,1
223,"2017-03-16","2017-04-18",0,0,"Spain",0,3.46781117695797,31,13.6175588699438,1
224,"2017-12-13","2018-01-05",0,1,"France",0,1.0396032927213,8,0,1
225,"2015-08-01","2015-09-27",0,0,"Germany",0,3.31356707954574,44,0,0
226,"2014-08-06","2014-08-13",0,0,"Germany",0,4.62483968588149,43,0,1
227,"2011-01-04","2011-02-02",0,0,"UK",0,3.32206313498459,30,0,1
228,"2013-10-28","2013-12-05",0,1,"France",0,2.2416895920751,34,7.51561022681888,0
229,"2019-02-24","2019-03-24",0,1,"Spain",0,0.628304529724327,4,0,1
230,"2015-09-23","2015-11-14",0,0,"UK",0,3.65824300545557,33,46.9669124206401,0
231,"2018-08-01","2018-09-08",0,0,"France",0,1.4894934484637,18,43.0563545191952,0
232,"2013-09-09","2013-12-04",0,0,"UK",0,1.40499668353919,11,33.8873887361111,0
233,"2011-06-09","2011-07-16",0,0,"Spain",1,2.17049748717023,11,0,1
234,"2009-11-03","2009-12-20",0,0,"Spain",0,2.52384158940365,22,0,0
235,"2015-03-21","2015-04-08",1,0,"UK",0,1.51712676138787,14,0,1
236,"2016-01-07","2016-02-20",0,0,"Germany",0,1.09068228454862,7,32.8746911255971,0
237,"2018-10-17","2018-11-21",1,0,"France",0,0.957730317285004,7,20.4045335551021,0
238,"2016-03-16","2016-03-26",0,0,"Germany",1,4.48529158217427,26,11.5606953807875,1
239,"2012-08-09","2012-10-01",0,0,"France",0,1.22779057696284,9,27.4791372439179,0
240,"2017-05-05","2017-05-23",1,0,"France",0,2.22238850499289,22,0,1
241,"2018-05-27","2018-06-18",0,0,"UK",0,1.29525491226039,9,28.9395650529975,1
242,"2018-10-10","2018-11-28",0,0,"Germany",0,2.8329705876939,25,44.6495618567902,0
243,"2018-01-21","2018-03-09",0,0,"France",0,1.0531378270522,12,0,0
244,"2011-01-30","2011-02-26",0,0,"UK",0,1.47842455469016,11,0,1
245,"2019-04-25","2019-06-01",0,0,"Germany",1,3.03476540021962,17,0,1
246,"2016-07-22","2016-09-22",0,1,"UK",0,1.63913873920706,24,0,0
247,"2014-05-23","2014-06-28",0,0,"UK",0,0.860879637566861,5,38.5174094287185,1
248,"2015-01-06","2015-02-03",0,0,"Germany",0,3.33381961082197,30,0,1
249,"2011-07-16","2011-09-17",1,1,"Germany",0,3.43649039247216,41,0,0
250,"2019-08-11","2019-09-09",0,0,"UK",0,1.64059689113106,13,21.2992414432223,0
251,"2019-10-22","2019-11-11",1,0,"Germany",0,0.891775214082532,7,27.214353421701,1
252,"2013-11-20","2013-12-14",0,0,"France",0,3.06775368591223,27,0,1
253,"2013-09-24","2013-10-23",0,0,"France",1,1.00423640607373,9,0,0
254,"2013-03-03","2013-03-27",0,0,"UK",0,0.974806372807551,6,22.8557334873466,1
255,"2018-03-18","2018-04-22",0,0,"UK",1,1.58714463847751,8,0,1
256,"2019-03-29","2019-05-28",1,0,"Germany",0,1.41089809756492,12,14.1291879754413,0
257,"2018-09-06","2018-10-09",1,0,"Spain",0,2.2319271552241,21,0,0
258,"2011-09-23","2011-11-05",0,0,"UK",0,1.84720289078444,15,30.077728990906,0
259,"2016-06-16","2016-07-10",0,0,"Germany",0,3.9151582398845,36,0,1
260,"2014-08-23","2014-09-05",0,0,"France",0,1.78067042963132,14,0,1
261,"2012-07-16","2012-08-21",1,0,"Germany",0,1.16849266149828,9,0,0
262,"2011-11-04","2011-12-27",1,0,"France",0,3.11272855021784,31,0,0
263,"2013-11-20","2014-01-18",0,0,"France",0,1.13906760503799,8,19.7181446913424,0
264,"2015-05-19","2015-06-25",0,0,"Spain",0,3.17755719038205,28,39.8909549544302,1
265,"2010-04-15","2010-05-10",1,0,"France",0,1.7011857458017,16,28.025435309775,1
266,"2015-06-26","2015-07-29",0,0,"Spain",0,3.45739969626798,33,0,1
267,"2018-04-01","2018-06-23",0,0,"France",0,2.03645450629775,17,14.1230418729616,0
268,"2019-02-24","2019-03-27",0,1,"Spain",0,2.24504205244189,22,31.1731721491421,1
269,"2010-09-22","2010-11-06",0,0,"Spain",0,2.37422332377395,20,0,0
270,"2017-07-19","2017-09-10",1,0,"UK",0,0.763676277907845,9,0,0
271,"2010-04-05","2010-05-01",1,0,"UK",0,1.0997397123233,9,37.6540180954166,1
272,"2010-01-23","2010-02-18",0,0,"Germany",0,1.17684632164522,8,9.64456265104389,0
273,"2012-03-12","2012-03-23",0,0,"Germany",0,2.88624073261922,25,0,1
274,"2009-05-25","2009-07-26",0,0,"France",0,1.02978929125893,7,33.3242024512366,0
275,"2019-12-20","2020-01-16",0,0,"UK",0,0.599482790448857,5,28.1609266920776,0
276,"2014-01-05","2014-01-30",0,0,"UK",0,1.13697103528881,8,0,1
277,"2012-02-23","2012-04-23",0,0,"France",0,1.49782434965348,18,33.5737744703477,0
278,"2019-03-15","2019-03-08",0,0,"UK",0,1.28802156124544,9,49.6726189352739,1
279,"2013-12-20","2014-03-07",0,1,"Germany",0,1.46798261537286,14,40.8238614471427,0
280,"2014-01-13","2014-02-09",0,0,"Germany",0,1.49142654647879,11,0,1
281,"2018-08-29","2018-09-17",0,1,"France",1,1.62274204559567,9,0,1
282,"2013-12-16","2014-02-08",0,0,"France",0,1.46810459924766,17,32.1542410028628,0
283,"2014-04-27","2014-06-21",0,0,"France",0,1.9226635666369,16,15.6646801937789,0
284,"2010-05-29","2010-06-16",1,0,"UK",0,1.58411018740881,15,0,1
285,"2017-07-04","2017-08-08",0,0,"Spain",0,4.2041048080045,39,38.3126857440922,1
286,"2019-11-19","2019-12-18",0,0,"UK",0,2.74174230899732,25,0,1
287,"2013-04-21","2013-05-06",0,0,"Germany",1,1.3042942383494,5,20.8760381172708,1
288,"2014-07-07","2014-08-22",0,1,"UK",0,3.19362615651732,34,24.8446439156521,0
289,"2011-11-06","2012-01-04",0,1,"Germany",0,0.891797180140163,7,0,0
290,"2013-01-30","2013-03-14",0,0,"Spain",0,2.61546940959388,23,46.1700129493277,0
291,"2016-06-24","2016-07-22",0,0,"France",1,1.79432417671998,8,42.5391183020855,1
292,"2015-09-27","2015-10-16",0,0,"France",1,1.74968812867608,8,0,1
293,"2018-01-31","2018-02-11",1,1,"Spain",1,2.34994533405968,17,20.827277079176,1
294,"2014-03-04","2014-03-27",0,0,"Germany",1,1.40416125486583,6,0,1
295,"2013-03-31","2013-05-31",0,0,"Germany",0,2.72192931104405,24,24.5389529239662,0
296,"2019-08-05","2019-08-22",0,1,"France",0,0.900038394663099,7,0,1
297,"2017-10-21","2017-12-21",0,0,"Spain",0,1.53657801416477,12,0,0
298,"2013-11-09","2013-11-14",0,0,"Germany",0,1.22742250717466,9,16.4899433083711,1
299,"2019-12-19","2020-01-13",1,0,"UK",0,1.59030185688514,15,0,1
300,"2016-08-03","2016-08-21",0,1,"France",1,1.17961774040633,5,0,1
301,"2014-01-26","2014-02-04",0,1,"UK",1,3.39326429107973,22,49.9829828986907,1
302,"2017-09-15","2017-10-17",0,0,"France",1,4.97243636267153,30,20.7942292242964,1
303,"2015-08-12","2015-08-31",1,0,"Spain",0,2.77317058632751,28,0,1
304,"2017-02-04","2017-02-21",1,0,"UK",1,2.72292026767813,17,24.4581265546161,1
305,"2009-12-08","2009-12-23",0,1,"Spain",0,1.5147252820007,15,26.0367390647434,1
306,"2017-03-17","2017-04-22",0,0,"Germany",0,2.49273862192881,21,20.0400399175076,0
307,"2010-02-03","2010-02-24",0,1,"Spain",0,3.76504005231395,39,0,1
308,"2015-12-14","2016-01-02",0,0,"Germany",0,1.0539034501796,7,0,1
309,"2016-08-30","2016-10-18",1,0,"Spain",0,3.77215943294989,39,0,1
310,"2009-04-16","2009-05-14",0,0,"Germany",0,2.8401783041798,25,0,0
311,"2011-10-19","2011-12-27",1,0,"Spain",0,0.720823906284784,5,0,0
312,"2015-10-09","2015-11-18",0,0,"Spain",0,0.869719485227019,5,0,0
313,"2011-01-24","2011-04-08",0,0,"Spain",0,1.63426756757136,13,0,0
314,"2018-06-17","2018-08-16",0,0,"France",1,1.21141893086008,12,0,0
