"ID","Date d'entretien","Date de signature","Ajout mail rapide","Création de compte rapide","Obtention de l'ordinateur rapide","Réunion sur l'équipement rapide","Score de satisfaction Onboarding","Nombre d'emails envoyés","Nombre de meetings"
69,"2012-10-14","2012-12-08",0,0,0,0,1.90984472672849,16,4
70,"2014-08-13","2014-10-01",0,1,0,1,0.764950341129974,8,2
71,"2009-07-25","2009-09-28",0,1,0,1,1.4768409948778,18,3
72,"2015-01-12","2015-03-21",0,0,0,0,1.01397609141333,7,5
73,"2013-06-02","2013-06-15",0,1,0,0,1.5642585898156,14,8
74,"2009-07-14","2009-08-10",0,1,0,0,2.51104485492167,25,4
75,"2018-11-22","2018-12-04",0,0,0,0,0.973060048088644,6,2
76,"2012-07-11","2012-09-06",0,0,1,0,0.747571659891688,7,4
77,"2009-11-21","2009-12-17",0,0,0,0,2.72790260912273,24,1
78,"2017-04-27","2017-06-15",0,0,0,0,2.74537486591371,24,2
79,"2010-11-29","2011-01-03",0,0,0,0,1.47596551081917,11,4
80,"2011-01-29","2011-03-08",0,0,0,0,2.63844595062614,23,2
81,"2010-04-11","2010-06-06",0,0,0,0,1.40885100320559,11,6
82,"2017-04-19","2017-05-06",1,0,0,0,0.716984745963821,4,3
83,"2012-12-25","2013-03-07",0,0,0,0,0.736982384167679,4,5
84,"2015-04-17","2015-05-28",0,0,0,0,1.39649924442585,10,8
85,"2012-03-22","2012-04-11",0,1,0,1,3.01954708607442,19,2
86,"2012-04-13","2012-05-29",0,0,1,0,1.87612699040667,23,5
87,"2014-06-22","2014-08-12",0,0,0,0,2.35339549359294,20,7
88,"2009-06-13","2009-07-05",0,0,0,0,2.68289063258546,23,7
89,"2010-09-27","2010-12-19",0,0,1,0,2.42835519333232,31,5
90,"2010-05-05","2010-07-03",0,0,0,0,0.904998894181898,6,3
91,"2015-02-25","2015-05-01",1,0,1,0,1.00479345199441,12,4
92,"2019-10-13","2019-11-21",0,0,1,0,1.15438603508463,9,2
93,"2016-06-29","2016-09-03",0,0,0,0,1.11751234514187,8,3
94,"2015-05-07","2015-05-27",0,0,0,0,2.94316863818097,26,5
95,"2010-08-30","2010-10-10",1,0,0,0,0.739023952830337,5,3
96,"2009-02-21","2009-03-07",0,0,1,0,0.535818249518974,4,1
97,"2017-11-11","2017-12-14",1,0,0,0,1.46362171846069,13,7
98,"2015-04-24","2015-04-21",0,0,0,1,1.49775175692884,6,5
99,"2017-02-15","2017-02-24",0,0,0,0,1.50993246600587,12,3
100,"2012-06-16","2012-07-04",1,0,0,1,2.62469726793703,16,4
101,"2017-03-20","2017-05-14",0,0,1,0,0.83970882270303,8,1
102,"2014-11-25","2015-01-07",0,0,0,0,1.95344331870231,16,4
103,"2014-10-22","2014-11-29",0,0,0,0,1.09995287856254,7,1
104,"2019-03-17","2019-05-16",1,0,0,0,2.75798258103602,27,1
105,"2017-02-12","2017-03-11",1,1,0,0,1.80005582764033,20,7
106,"2017-12-09","2017-12-28",0,0,1,0,1.80484008469078,15,7
107,"2017-09-15","2017-10-13",1,0,0,0,1.01013169621964,8,3
108,"2011-07-16","2011-08-08",1,0,0,0,0.755961211028376,5,1
109,"2012-03-18","2012-05-07",0,0,0,0,2.41781315665318,21,3
110,"2010-03-09","2010-03-23",0,0,0,0,1.99776445658393,16,3
111,"2017-02-09","2017-03-11",0,0,0,0,0.952055023347234,6,3
112,"2014-02-02","2014-02-19",0,0,0,0,1.11512076313242,8,2
113,"2016-07-05","2016-07-20",1,0,0,0,2.06691904737833,20,5
114,"2015-07-14","2015-08-14",1,0,0,0,2.33729503217166,22,5
115,"2012-06-08","2012-07-05",0,0,1,0,2.39110015144035,31,6
116,"2009-06-01","2009-07-11",1,0,0,0,1.49951694044087,13,2
117,"2017-10-05","2017-11-03",0,0,0,1,1.16647662439732,4,7
118,"2012-02-29","2012-03-15",0,0,0,0,0.927092776603677,6,2
119,"2019-01-05","2019-01-28",0,0,0,0,1.63223765449172,13,8
120,"2014-10-14","2014-11-11",0,0,0,1,1.34113582361999,5,5
121,"2017-07-15","2017-08-04",0,0,0,0,2.70353057121093,24,5
122,"2011-01-29","2011-02-19",0,0,0,0,2.33041539291436,20,5
123,"2010-06-08","2010-08-08",0,0,0,0,1.7785018669745,14,2
124,"2019-07-31","2019-09-02",1,0,0,1,1.18759638628498,5,3
125,"2011-05-15","2011-06-14",0,0,0,1,2.65920300212156,14,1
126,"2016-07-03","2016-08-30",0,0,1,0,2.63125430269113,34,3
127,"2012-07-26","2012-10-12",0,0,0,1,1.71412633461758,18,2
128,"2014-11-09","2014-11-25",0,0,0,0,1.94889328765096,16,4
129,"2011-10-28","2011-12-17",0,1,0,1,2.53477490497335,34,1
130,"2015-12-12","2016-01-13",1,0,0,0,3.60870888435512,37,5
131,"2014-06-13","2014-07-10",1,0,0,0,2.29684246492027,22,4
132,"2012-12-16","2013-01-19",0,0,1,0,2.01491260795381,25,3
133,"2014-03-22","2014-05-04",0,1,0,1,1.22520579282397,6,3
134,"2012-08-01","2012-08-23",0,1,1,0,0.842548732092258,7,1
135,"2014-10-19","2014-11-18",0,0,0,0,1.87413196523241,15,5
136,"2011-03-05","2011-03-07",0,0,0,0,1.43689924179182,11,6
137,"2015-01-12","2015-03-23",0,1,1,0,1.38284193320898,20,2
138,"2019-09-16","2019-11-21",0,0,0,0,3.27390241137485,29,3
139,"2018-04-15","2018-06-18",0,0,1,0,3.47746213648388,46,3
140,"2012-10-11","2012-11-06",0,0,0,0,1.6164459487234,13,4
141,"2018-06-07","2018-07-21",1,0,0,0,1.7352856330827,16,2
142,"2010-09-29","2010-10-27",0,0,0,0,1.52841547729715,12,7
143,"2017-07-03","2017-08-25",0,0,0,0,2.17940352354821,18,4
144,"2012-10-18","2013-01-20",0,0,0,0,1.01033621603458,7,2
145,"2014-08-31","2014-10-20",0,0,0,0,0.956767897090308,6,4
146,"2015-09-14","2015-10-14",1,0,0,1,5.76022142479876,40,1
147,"2013-05-21","2013-06-25",1,1,0,0,2.95649432508522,35,6
148,"2016-07-22","2016-09-08",0,0,0,0,3.02560767103235,27,1
149,"2009-01-18","2009-02-16",0,0,0,0,2.98308869601474,26,3
150,"2012-08-24","2012-09-17",0,1,0,0,1.66028232338946,15,5
151,"2010-04-09","2010-05-06",0,0,0,0,1.90868552372014,16,3
152,"2014-07-14","2014-08-16",1,0,0,0,1.47311943892316,13,4
153,"2012-03-11","2012-04-25",0,0,0,0,2.00777732460603,17,6
154,"2010-06-04","2010-07-04",0,0,0,0,3.64628464603169,33,3
155,"2015-03-10","2015-04-04",0,0,0,0,1.24216264447762,9,2
156,"2014-07-07","2014-07-29",0,0,0,0,0.969758644787792,6,5
157,"2011-09-20","2011-11-02",1,0,0,0,3.15475205674784,32,2
158,"2010-11-11","2011-01-18",1,0,1,0,3.43182242827613,51,5
159,"2015-06-14","2015-07-15",1,0,0,1,1.021308841326,7,4
160,"2011-02-19","2011-03-18",0,1,0,1,4.24870903146048,29,4
161,"2019-05-30","2019-07-12",0,0,1,0,1.39989113375975,16,2
162,"2010-06-14","2010-08-20",0,1,0,0,1.67642326727912,16,1
163,"2012-06-27","2012-08-17",0,0,1,0,1.12488929935528,13,2
164,"2009-12-03","2009-12-19",1,0,0,0,1.72817166802778,16,6
165,"2013-07-15","2013-07-29",0,0,0,1,3.744466262074,21,4
166,"2013-07-04","2013-08-01",0,0,0,0,1.98129163958719,16,3
167,"2011-04-02","2011-05-05",0,0,0,0,4.93100012174022,46,7
168,"2010-04-13","2010-05-29",1,1,0,0,3.88785996845398,47,3
169,"2010-09-24","2010-10-19",0,0,1,0,1.49091882632695,12,2
170,"2009-03-26","2009-05-19",0,0,0,0,1.50973682360637,12,2
171,"2017-12-14","2017-12-17",0,1,1,0,1.4135532647795,13,1
172,"2010-01-14","2010-02-17",0,0,0,0,2.27435332059244,19,3
173,"2009-07-12","2009-09-15",0,0,1,0,1.80195719331569,22,3
174,"2010-06-01","2010-08-03",0,1,1,0,2.69039653428794,42,2
175,"2016-09-18","2016-09-07",0,0,0,0,3.06571396808648,27,1
176,"2011-10-06","2011-12-04",0,0,1,0,1.62476995980118,20,3
177,"2018-04-23","2018-06-02",0,0,0,1,1.25055483585608,5,4
178,"2015-10-02","2015-12-10",0,0,0,0,2.04259434405648,17,1
179,"2018-12-13","2019-02-11",0,0,1,0,2.03245741538433,26,2
180,"2009-03-12","2009-03-13",1,0,0,0,2.79031004838538,28,6
181,"2011-12-05","2011-12-29",1,0,0,0,1.41787703490504,11,1
182,"2016-02-02","2016-03-26",1,0,0,0,1.43054992834342,12,1
183,"2012-04-01","2012-05-17",0,0,0,1,2.96213861468739,34,4
184,"2017-07-05","2017-08-23",0,0,0,1,0.923919445252612,8,2
185,"2016-05-30","2016-07-01",0,0,0,0,0.889532999288114,5,4
186,"2019-07-06","2019-08-14",0,0,0,0,1.56566909343532,12,4
187,"2018-12-23","2019-02-10",0,0,1,0,0.831959233547156,8,6
188,"2016-10-01","2016-11-22",1,0,1,0,1.01130603264676,13,3
189,"2012-05-13","2012-06-15",0,0,0,1,1.67689297917891,8,3
190,"2013-01-18","2013-02-24",0,0,0,0,1.04572932518771,7,8
191,"2017-05-10","2017-06-10",0,0,1,0,1.1272325927826,8,1
192,"2012-06-11","2012-07-06",0,0,0,0,1.02544265139394,7,3
193,"2014-09-07","2014-10-27",0,0,0,0,3.62352364240097,33,5
194,"2010-11-09","2010-12-05",0,0,0,0,1.34119658862007,10,5
195,"2011-02-14","2011-03-01",0,1,0,1,1.74533265548593,10,9
196,"2015-11-12","2016-01-02",0,0,1,0,1.05223864528002,12,4
197,"2013-07-03","2013-07-22",0,0,0,1,1.8007176653697,9,5
198,"2017-01-21","2017-03-05",0,0,0,0,3.16352101174215,28,9
199,"2009-10-19","2009-12-30",0,0,1,0,2.51328807042205,32,1
200,"2009-10-10","2009-10-11",0,0,0,0,1.92212673482641,16,5
201,"2015-09-04","2015-10-08",0,0,1,0,0.803769422016954,8,2
202,"2018-09-23","2018-12-04",0,0,0,0,3.90246183677147,36,3
203,"2019-01-08","2019-01-20",0,0,0,1,1.63481015712528,13,3
204,"2016-12-25","2017-01-27",0,1,0,0,1.65338842448281,16,3
205,"2010-04-02","2010-05-18",0,0,0,0,2.01633851699736,17,5
206,"2013-10-25","2013-12-04",0,0,0,0,1.96085891716236,16,1
207,"2015-03-03","2015-03-18",0,0,0,1,2.6732256671599,14,3
208,"2015-03-09","2015-04-02",1,0,0,0,3.59228857752585,32,4
209,"2013-05-05","2013-07-15",0,0,0,0,2.44959041977811,21,2
210,"2009-10-08","2009-11-01",0,0,0,1,6.78606798256893,42,6
211,"2019-09-08","2019-10-09",0,0,0,1,1.17245752675425,4,5
212,"2010-08-21","2010-09-23",0,0,0,0,0.823499230406554,5,6
213,"2015-08-31","2015-10-16",0,0,0,0,3.31589746285285,30,4
214,"2010-10-30","2010-11-09",0,0,0,1,1.4773178713967,6,5
215,"2011-01-17","2011-02-27",1,0,0,0,1.15396170158577,9,1
216,"2012-03-17","2012-04-12",0,0,1,0,2.72544789382933,25,5
217,"2013-10-23","2013-11-12",0,0,1,0,0.620180063271698,5,3
218,"2012-06-03","2012-07-01",0,0,0,1,1.12771392890869,4,3
219,"2013-12-19","2014-02-19",0,1,0,0,1.4688171629631,14,2
220,"2010-10-07","2010-10-28",0,1,0,0,2.12104907162377,21,5
221,"2017-01-12","2017-03-04",0,0,0,0,2.80198953491177,25,7
222,"2009-03-20","2009-04-12",0,1,1,0,2.42251014520163,25,7
223,"2017-03-16","2017-04-18",0,0,0,0,3.46781117695797,31,7
224,"2017-12-13","2018-01-05",0,1,0,0,1.0396032927213,8,1
225,"2015-08-01","2015-09-27",0,0,1,0,3.31356707954574,44,2
226,"2014-08-06","2014-08-13",0,0,0,0,4.62483968588149,43,8
227,"2011-01-04","2011-02-02",0,0,0,0,3.32206313498459,30,3
228,"2013-10-28","2013-12-05",0,1,1,0,2.2416895920751,34,1
229,"2019-02-24","2019-03-24",0,1,0,0,0.628304529724327,4,4
230,"2015-09-23","2015-11-14",0,0,0,0,3.65824300545557,33,4
231,"2018-08-01","2018-09-08",0,0,1,0,1.4894934484637,18,1
232,"2013-09-09","2013-12-04",0,0,0,0,1.40499668353919,11,2
233,"2011-06-09","2011-07-16",0,0,0,1,2.17049748717023,11,4
234,"2009-11-03","2009-12-20",0,0,0,0,2.52384158940365,22,5
235,"2015-03-21","2015-04-08",1,0,0,0,1.51712676138787,14,2
236,"2016-01-07","2016-02-20",0,0,0,0,1.09068228454862,7,2
237,"2018-10-17","2018-11-21",1,0,0,0,0.957730317285004,7,5
238,"2016-03-16","2016-03-26",0,0,0,1,4.48529158217427,26,2
239,"2012-08-09","2012-10-01",0,0,0,0,1.22779057696284,9,5
240,"2017-05-05","2017-05-23",1,0,0,0,2.22238850499289,22,9
241,"2018-05-27","2018-06-18",0,0,0,0,1.29525491226039,9,4
242,"2018-10-10","2018-11-28",0,0,0,0,2.8329705876939,25,3
243,"2018-01-21","2018-03-09",0,0,1,0,1.0531378270522,12,3
244,"2011-01-30","2011-02-26",0,0,0,0,1.47842455469016,11,2
245,"2019-04-25","2019-06-01",0,0,0,1,3.03476540021962,17,4
246,"2016-07-22","2016-09-22",0,1,1,0,1.63913873920706,24,4
247,"2014-05-23","2014-06-28",0,0,0,0,0.860879637566861,5,5
248,"2015-01-06","2015-02-03",0,0,0,0,3.33381961082197,30,2
249,"2011-07-16","2011-09-17",1,1,0,0,3.43649039247216,41,3
250,"2019-08-11","2019-09-09",0,0,0,0,1.64059689113106,13,3
251,"2019-10-22","2019-11-11",1,0,1,0,0.891775214082532,7,4
252,"2013-11-20","2013-12-14",0,0,0,0,3.06775368591223,27,4
253,"2013-09-24","2013-10-23",0,0,0,1,1.00423640607373,9,1
254,"2013-03-03","2013-03-27",0,0,0,0,0.974806372807551,6,7
255,"2018-03-18","2018-04-22",0,0,1,1,1.58714463847751,8,6
256,"2019-03-29","2019-05-28",1,0,0,0,1.41089809756492,12,3
257,"2018-09-06","2018-10-09",1,0,0,0,2.2319271552241,21,3
258,"2011-09-23","2011-11-05",0,0,0,0,1.84720289078444,15,2
259,"2016-06-16","2016-07-10",0,0,0,0,3.9151582398845,36,3
260,"2014-08-23","2014-09-05",0,0,0,0,1.78067042963132,14,6
261,"2012-07-16","2012-08-21",1,0,0,0,1.16849266149828,9,3
262,"2011-11-04","2011-12-27",1,0,0,0,3.11272855021784,31,4
263,"2013-11-20","2014-01-18",0,0,0,0,1.13906760503799,8,3
264,"2015-05-19","2015-06-25",0,0,0,0,3.17755719038205,28,5
265,"2010-04-15","2010-05-10",1,0,0,0,1.7011857458017,16,4
266,"2015-06-26","2015-07-29",0,0,1,0,3.45739969626798,33,4
267,"2018-04-01","2018-06-23",0,0,0,0,2.03645450629775,17,5
268,"2019-02-24","2019-03-27",0,1,0,0,2.24504205244189,22,4
269,"2010-09-22","2010-11-06",0,0,0,0,2.37422332377395,20,2
270,"2017-07-19","2017-09-10",1,0,1,0,0.763676277907845,9,5
271,"2010-04-05","2010-05-01",1,0,0,0,1.0997397123233,9,7
272,"2010-01-23","2010-02-18",0,0,0,0,1.17684632164522,8,3
273,"2012-03-12","2012-03-23",0,0,0,0,2.88624073261922,25,3
274,"2009-05-25","2009-07-26",0,0,0,0,1.02978929125893,7,1
275,"2019-12-20","2020-01-16",0,0,1,0,0.599482790448857,5,3
276,"2014-01-05","2014-01-30",0,0,0,0,1.13697103528881,8,5
277,"2012-02-23","2012-04-23",0,0,1,0,1.49782434965348,18,1
278,"2019-03-15","2019-03-08",0,0,0,0,1.28802156124544,9,6
279,"2013-12-20","2014-03-07",0,1,0,0,1.46798261537286,14,4
280,"2014-01-13","2014-02-09",0,0,0,0,1.49142654647879,11,7
281,"2018-08-29","2018-09-17",0,1,0,1,1.62274204559567,9,5
282,"2013-12-16","2014-02-08",0,0,1,0,1.46810459924766,17,4
283,"2014-04-27","2014-06-21",0,0,0,0,1.9226635666369,16,3
284,"2010-05-29","2010-06-16",1,0,0,0,1.58411018740881,15,5
285,"2017-07-04","2017-08-08",0,0,0,0,4.2041048080045,39,5
286,"2019-11-19","2019-12-18",0,0,1,0,2.74174230899732,25,4
287,"2013-04-21","2013-05-06",0,0,0,1,1.3042942383494,5,3
288,"2014-07-07","2014-08-22",0,1,0,0,3.19362615651732,34,6
289,"2011-11-06","2012-01-04",0,1,0,0,0.891797180140163,7,3
290,"2013-01-30","2013-03-14",0,0,0,0,2.61546940959388,23,4
291,"2016-06-24","2016-07-22",0,0,0,1,1.79432417671998,8,4
292,"2015-09-27","2015-10-16",0,0,0,1,1.74968812867608,8,3
293,"2018-01-31","2018-02-11",1,1,0,1,2.34994533405968,17,1
294,"2014-03-04","2014-03-27",0,0,0,1,1.40416125486583,6,6
295,"2013-03-31","2013-05-31",0,0,0,0,2.72192931104405,24,3
296,"2019-08-05","2019-08-22",0,1,0,0,0.900038394663099,7,4
297,"2017-10-21","2017-12-21",0,0,0,0,1.53657801416477,12,3
298,"2013-11-09","2013-11-14",0,0,0,0,1.22742250717466,9,2
299,"2019-12-19","2020-01-13",1,0,0,0,1.59030185688514,15,6
300,"2016-08-03","2016-08-21",0,1,0,1,1.17961774040633,5,3
301,"2014-01-26","2014-02-04",0,1,0,1,3.39326429107973,22,4
302,"2017-09-15","2017-10-17",0,0,0,1,4.97243636267153,30,5
303,"2015-08-12","2015-08-31",1,0,0,0,2.77317058632751,28,3
304,"2017-02-04","2017-02-21",1,0,0,1,2.72292026767813,17,4
305,"2009-12-08","2009-12-23",0,1,1,0,1.5147252820007,15,3
306,"2017-03-17","2017-04-22",0,0,0,0,2.49273862192881,21,3
307,"2010-02-03","2010-02-24",0,1,0,0,3.76504005231395,39,1
308,"2015-12-14","2016-01-02",0,0,0,0,1.0539034501796,7,4
309,"2016-08-30","2016-10-18",1,0,0,0,3.77215943294989,39,5
310,"2009-04-16","2009-05-14",0,0,0,0,2.8401783041798,25,6
311,"2011-10-19","2011-12-27",1,0,0,0,0.720823906284784,5,4
312,"2015-10-09","2015-11-18",0,0,0,0,0.869719485227019,5,3
313,"2011-01-24","2011-04-08",0,0,0,0,1.63426756757136,13,3
314,"2018-06-17","2018-08-16",0,0,0,1,1.21141893086008,12,3
315,"2017-03-04","2017-04-21",1,0,0,0,1.76693415225094,16,1
316,"2019-04-08","2019-04-28",0,0,1,0,2.80512550447957,26,2
317,"2014-02-10","2014-03-07",0,0,0,1,1.59922030939557,7,3
318,"2014-11-08","2014-12-13",0,0,0,0,1.67482818090979,13,2
319,"2010-07-21","2010-08-02",0,0,0,0,1.34399585651456,10,5
320,"2015-06-21","2015-06-28",0,0,0,0,2.83870817466118,25,4
321,"2012-08-02","2012-09-06",1,0,0,1,0.950369248452873,10,5
322,"2013-07-28","2013-08-20",0,0,0,0,2.99356614780473,26,8
323,"2018-05-16","2018-06-06",0,0,0,0,1.35854418209962,10,5
324,"2014-05-26","2014-07-14",1,0,0,0,2.85045668910468,28,2
325,"2019-01-28","2019-02-26",0,0,0,0,3.52943063083723,32,5
326,"2013-01-14","2013-02-11",0,0,0,0,2.09665401467613,17,4
327,"2011-11-04","2011-12-14",1,0,0,0,0.944659433475033,7,5
328,"2016-03-20","2016-04-23",1,0,0,0,1.52302133390672,14,3
329,"2011-08-07","2011-08-25",0,0,0,0,0.68194530550472,3,3
330,"2010-11-01","2010-12-08",1,0,0,0,1.83039919493996,17,4
331,"2013-05-17","2013-06-13",1,0,0,0,0.820335412819637,6,5
332,"2016-06-07","2016-07-02",0,1,0,1,5.97957674451178,42,10
333,"2015-01-18","2015-02-27",0,0,0,0,3.53736691787942,32,6
334,"2018-03-18","2018-05-06",0,0,0,0,0.892348207864003,5,6
335,"2010-10-30","2010-12-29",0,0,0,0,0.893231987796412,5,1
336,"2010-09-08","2010-09-25",0,0,0,0,1.6801097868292,13,3
337,"2014-02-03","2014-04-04",0,0,0,0,1.70042230770977,14,4
338,"2009-05-19","2009-06-21",0,0,0,0,3.64526442457012,33,2
339,"2014-11-28","2015-01-23",0,0,0,0,0.84551483911868,5,3
340,"2018-12-08","2019-01-06",0,0,0,0,2.3605508930064,20,2
341,"2012-02-13","2012-03-30",0,0,0,1,1.6200555627951,17,3
342,"2018-06-16","2018-08-19",1,1,1,0,2.36404253883541,41,2
343,"2015-06-16","2015-07-06",0,0,1,0,2.66383376354933,35,3
344,"2009-09-25","2009-10-24",0,0,0,0,0.902851672426745,6,3
345,"2013-06-30","2013-08-25",0,0,0,0,1.62560085817424,13,2
346,"2013-05-04","2013-05-22",1,0,1,1,1.74521625851295,10,5
347,"2012-07-25","2012-08-08",1,1,0,0,0.972716779406613,9,5
348,"2014-04-05","2014-05-09",0,0,0,0,3.59865212693832,32,4
349,"2017-01-24","2017-03-29",0,0,0,0,2.88212429250389,25,4
350,"2017-12-15","2018-01-06",0,0,0,0,2.77263552823359,24,4
351,"2018-01-01","2018-02-20",0,1,0,1,1.48146600022986,8,4
352,"2012-07-17","2012-08-07",1,0,0,0,0.89160000431503,7,1
353,"2019-09-21","2019-11-01",0,0,0,0,1.14850131022247,8,2
354,"2019-06-17","2019-07-24",0,0,0,0,0.942258726954135,6,3
355,"2010-11-08","2010-12-05",0,0,0,1,2.99239065888751,16,2
356,"2015-10-19","2015-11-22",0,0,0,0,2.06627235204399,17,2
357,"2009-04-17","2009-06-21",1,0,0,1,0.69555294643316,6,3
358,"2016-01-14","2016-02-25",1,0,0,0,1.11588561588803,9,3
359,"2011-03-14","2011-05-06",0,0,0,0,1.45846009202135,11,3
360,"2015-02-11","2015-03-07",1,0,0,1,4.55767814964213,31,3
361,"2016-07-23","2016-09-18",0,0,0,0,2.1851271166568,18,1
362,"2010-02-06","2010-03-01",0,1,0,0,1.01364939002205,8,2
363,"2011-10-30","2011-11-21",0,0,0,0,2.90035632730952,26,4
364,"2012-08-18","2012-09-15",0,0,0,0,2.94645844578128,26,1
365,"2015-08-06","2015-10-11",0,0,1,0,1.93704636066411,24,2
366,"2016-05-31","2016-06-16",1,0,0,0,0.925295623108013,7,2
367,"2012-09-17","2012-09-25",0,0,0,1,2.85073629072248,16,5
368,"2019-05-07","2019-07-11",0,1,0,0,2.34228642578334,24,3
369,"2016-03-06","2016-04-09",0,0,0,0,1.36354006101092,10,4
370,"2013-05-17","2013-06-10",0,0,0,0,0.920001961477618,6,5
371,"2012-01-31","2012-02-25",0,1,0,0,3.10673746231436,32,3
372,"2010-04-08","2010-06-11",0,0,1,0,1.45909275556479,17,3
